Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),Description
chem1002,Introduction to Chemistry of Cosmetics,3 Credit(s),,,,,,,,This course concentrates on the basic scientific principles in cosmetic science. Various topics with emphasis on molecular approach related to cosmetic products# formulation and proper uses of cosmetic products will be covered. Major topics include definition of cosmetics@ make-up cosmetics@ skin-care cosmetics@ hair-care cosmetics@ vehicles of cosmetic products@ surfactants@ colorants@ alpha hydroxyl acids & beta hydroxyl acids@ anti-oxidants and sunscreens@ skin-whitening agents@ hydrating substances / moisturizers@ antiperspirants & deodorants and botanical ingredients.
chem1008,Introductory Chemistry,3 Credit(s),,Level 3 or above in HKDSE 1/2x Chemistry OR HKDSE 1x Chemistry@ a passing grade in AL/AS Chemistry@ any CHEM courses at or above 1004-level,,,,,,This course targets science or engineering students with very little to no chemistry background. It provides a general introduction to basic principles of chemistry. Key topics include state of matters@ atoms and elements@ molecules and compounds@ atomic structures and periodicity@ molecular structures@ quantities in chemical reactions@ bonding theories@ acids and bases@ and solution chemistry.
chem1010,General Chemistry IA,3 Credit(s),Level 3 or above in HKDSE 1/2x Chemistry OR CORE 1120,Level 3 or above in HKDSE 1x Chemistry@ CHEM 1008@ CHEM 1020,,,,,,This course is an introduction to fundamental principles of chemistry for students who have learnt the basic knowledge of chemistry in high school. Topics include atomic structure and periodicity@ chemical bonding and molecular structure@ basic properties of gases@ liquids and solids@ chemical kinetics@ chemical equilibrium@ and basic organic and biological molecules.
chem1020,General Chemistry I,3 Credit(s),Level 3 or above in HKDSE 1/2x OR level 3 or above in HKDSE 1x Chemistry OR CHEM 1008 OR CORE 1120,CHEM 1010,,,,,,This course targets at students who have acquired more advanced knowledge in fundamental Chemistry in high school. Key topics include atomic structure and periodicity@ bonding theories@ chemical energy@ and properties of gases@ liquids and solids. Other topics such as chemical kinetics@ chemical equilibrium and organic molecules will be briefly reviewed.
chem1030,General Chemistry II,3 Credit(s),Grade C+ or above in CHEM 1008 OR Level 4 or above in HKDSE 1x Chemistry OR CHEM 1010 OR CHEM 1020,,,,,,,This course is designed for students who have taken General Chemistry I and want to continue to expand their chemistry knowledge. It will cover topics related to stoichiometry and chemical reactions@ properties of aqueous solutions@ acids and bases@ thermodynamics and equilibrium@ electrochemistry@ general aspects in chemistry of the main-group elements@ and introduction to transition metal elements and coordination compounds.
chem1050,Laboratory for General Chemistry I,1 Credit(s),,,CHEM 1010 OR CHEM 1020,,,,,This course is the laboratory class designed for students who are enrolled in CHEM 1010 or CHEM 1020. With laboratory experience acquired in this course@ students will be able to relate the physical and chemical principles and theories in practice@ perform basic chemical laboratory techniques@ and develop their data analyzing skills. Graded P or F.
chem1055,Laboratory for General Chemistry II,1 Credit(s),CHEM 1010 OR CHEM 1020,,CHEM 1030,,,,,This course is the laboratory class designed for students who enrolled in CHEM 1030. Students will perform experiments based on the theory they learned in courses. By conducting experiments independently@ students are able to experience the whole process@ from pre-lab and studying Material Safety Data Sheet (MSDS)@ to using suitable labwares@ experimental techniques and data treatment. Graded P or F.
chem2110,Organic Chemistry I,3 Credit(s),CHEM 1030,CHEM 2111,,,,,,This is the first part of the organic chemistry course series designed for students taking a major/minor in chemistry/life science under the four-year degree. Topics covered include: structure and bonding; regio-@ geometric@ and stereoisomerism; polar and radical reactions of alkenes and alkynes; substitution and elimination reactions; synthesis and reactions of alcohols and epoxides.
chem2111,Fundamentals of Organic Chemistry,3 Credit(s),CHEM 1010 OR CHEM 1020,CHEM 2110,,,,,,Various classes of organic compounds@ emphasizing organic chemical reactions and mechanisms of major functionalities and their importance in the area of biological chemistry. For engineering students under the four-year degrees who prefer to learn organic chemistry in a single term.
chem2150,Organic Chemistry Laboratory,1 Credit(s),(CHEM 1010 OR CHEM 1020) AND CHEM 1050,,CHEM 2110 OR CHEM 2111,,,,,This is the laboratory course designed for students who enrolled in CHEM 2110 and CHEM 2111. Students will perform a series of organic experiments related to the theory learnt in courses. Students will be trained to perform a wide range of basic organic laboratory techniques@ operate chemical instruments in laboratory@ relate the physical and chemical principles and theory in practice and develop their data interpretation and analyzing skills. Experiments of topics such as esterification and Williamson ether synthesis will be included. For students in the programs under the four-year degree that designate the course as a required course/specified elective.
